old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_run_metag,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_NRMCB_Wa_211026_3um_1,EMOBON00228,,ERS20568965,,PRJEB51658,PRJEB51688,SAMEA115828448,EMOBON_NRMCB_Wa_43
EMOBON_NRMCB_Wa_211026_3um_2,EMOBON00229,,ERS20568966,,PRJEB51658,PRJEB51688,SAMEA115828449,EMOBON_NRMCB_Wa_44
EMOBON_NRMCB_Wa_211221_0.2um_1,EMOBON00234,,ERS20568971,,PRJEB51658,PRJEB51688,SAMEA115828454,EMOBON_NRMCB_Wa_68
EMOBON_NRMCB_Wa_211221_0.2um_2,EMOBON00235,,ERS20568972,,PRJEB51658,PRJEB51688,SAMEA115828455,EMOBON_NRMCB_Wa_69
EMOBON_NRMCB_Wa_211221_3um_1,EMOBON00232,,ERS20568969,,PRJEB51658,PRJEB51688,SAMEA115828452,EMOBON_NRMCB_Wa_63
EMOBON_NRMCB_Wa_211221_3um_2,EMOBON00233,,ERS20568970,,PRJEB51658,PRJEB51688,SAMEA115828453,EMOBON_NRMCB_Wa_64
EMOBON_OSD74_Wa_211028_0.2um_1,EMOBON00245,,ERS20569009,,PRJEB51659,PRJEB51688,SAMEA115828492,EMOBON_OSD74_Wa_12
EMOBON_OSD74_Wa_211028_0.2um_2,EMOBON00247,,ERS20569011,,PRJEB51659,PRJEB51688,SAMEA115828494,EMOBON_OSD74_Wa_14
EMOBON_OSD74_Wa_211028_3um_1,EMOBON00244,,ERS20569008,,PRJEB51659,PRJEB51688,SAMEA115828491,EMOBON_OSD74_Wa_11
EMOBON_OSD74_Wa_211028_3um_2,EMOBON00246,,ERS20569010,,PRJEB51659,PRJEB51688,SAMEA115828493,EMOBON_OSD74_Wa_13
EMOBON_OSD74_Wa_211218_0.2um_1,EMOBON00249,,ERS20569013,,PRJEB51659,PRJEB51688,SAMEA115828496,EMOBON_OSD74_Wa_22
EMOBON_OSD74_Wa_211218_0.2um_2,EMOBON00251,,ERS20569015,,PRJEB51659,PRJEB51688,SAMEA115828498,EMOBON_OSD74_Wa_24
EMOBON_OSD74_Wa_211218_3um_1,EMOBON00248,,ERS20569012,,PRJEB51659,PRJEB51688,SAMEA115828495,EMOBON_OSD74_Wa_21
EMOBON_OSD74_Wa_211218_3um_2,EMOBON00250,,ERS20569014,,PRJEB51659,PRJEB51688,SAMEA115828497,EMOBON_OSD74_Wa_23
EMOBON_PiEGetxo_Wa_211027_0.2um_1,EMOBON00208,,ERS20569024,,PRJEB51660,PRJEB51688,SAMEA115828507,EMOBON_PiEGetxo_Wa_14
EMOBON_PiEGetxo_Wa_211027_0.2um_2,EMOBON00209,,ERS20569025,,PRJEB51660,PRJEB51688,SAMEA115828508,EMOBON_PiEGetxo_Wa_15
EMOBON_PiEGetxo_Wa_211027_3um_1,EMOBON00206,,ERS20569022,,PRJEB51660,PRJEB51688,SAMEA115828505,EMOBON_PiEGetxo_Wa_12
EMOBON_PiEGetxo_Wa_211027_3um_2,EMOBON00207,,ERS20569023,,PRJEB51660,PRJEB51688,SAMEA115828506,EMOBON_PiEGetxo_Wa_13
EMOBON_PiEGetxo_Wa_211222_0.2um_1,EMOBON00212,,ERS20569028,,PRJEB51660,PRJEB51688,SAMEA115828511,EMOBON_PiEGetxo_Wa_50
EMOBON_PiEGetxo_Wa_211222_0.2um_2,EMOBON00213,,ERS20569029,,PRJEB51660,PRJEB51688,SAMEA115828512,EMOBON_PiEGetxo_Wa_51
EMOBON_PiEGetxo_Wa_211222_3um_1,EMOBON00210,,ERS20569026,,PRJEB51660,PRJEB51688,SAMEA115828509,EMOBON_PiEGetxo_Wa_48
EMOBON_PiEGetxo_Wa_211222_3um_2,EMOBON00211,,ERS20569027,,PRJEB51660,PRJEB51688,SAMEA115828510,EMOBON_PiEGetxo_Wa_49
EMOBON_RFormosa_Wa_211022_0.2um_1,EMOBON00216,,ERS20568951,,PRJEB51661,PRJEB51688,SAMEA115828434,EMOBON_RFormosa_Wa_15
EMOBON_RFormosa_Wa_211022_0.2um_2,EMOBON00217,,ERS20568952,,PRJEB51661,PRJEB51688,SAMEA115828435,EMOBON_RFormosa_Wa_16
EMOBON_RFormosa_Wa_211022_3um_1,EMOBON00214,,ERS20568949,,PRJEB51661,PRJEB51688,SAMEA115828432,EMOBON_RFormosa_Wa_11
EMOBON_RFormosa_Wa_211022_3um_2,EMOBON00215,,ERS20568950,,PRJEB51661,PRJEB51688,SAMEA115828433,EMOBON_RFormosa_Wa_12
EMOBON_RFormosa_Wa_211220_0.2um_1,EMOBON00220,,ERS20568955,,PRJEB51661,PRJEB51688,SAMEA115828438,EMOBON_RFormosa_Wa_25
EMOBON_RFormosa_Wa_211220_0.2um_2,EMOBON00221,,ERS20568956,,PRJEB51661,PRJEB51688,SAMEA115828439,EMOBON_RFormosa_Wa_26
EMOBON_RFormosa_Wa_211220_3um_1,EMOBON00218,,ERS20568953,,PRJEB51661,PRJEB51688,SAMEA115828436,EMOBON_RFormosa_Wa_21
EMOBON_RFormosa_Wa_211220_3um_2,EMOBON00219,,ERS20568954,,PRJEB51661,PRJEB51688,SAMEA115828437,EMOBON_RFormosa_Wa_22
EMOBON_ROSKOGO_Wa_211014_0.2um_1,EMOBON00184,,ERS20568931,,PRJEB51662,PRJEB51688,SAMEA115828414,EMOBON_ROSKOGO_Wa_27
EMOBON_ROSKOGO_Wa_211014_0.2um_2,EMOBON00185,,ERS20568932,,PRJEB51662,PRJEB51688,SAMEA115828415,EMOBON_ROSKOGO_Wa_28
EMOBON_ROSKOGO_Wa_211014_3um_1,EMOBON00182,,ERS20568929,,PRJEB51662,PRJEB51688,SAMEA115828412,EMOBON_ROSKOGO_Wa_23
EMOBON_ROSKOGO_Wa_211014_3um_2,EMOBON00183,,ERS20568930,,PRJEB51662,PRJEB51688,SAMEA115828413,EMOBON_ROSKOGO_Wa_24
EMOBON_ROSKOGO_Wa_211213_0.2um_1,EMOBON00190,,ERS20568935,,PRJEB51662,PRJEB51688,SAMEA115828418,EMOBON_ROSKOGO_Wa_37
EMOBON_ROSKOGO_Wa_211213_0.2um_2,EMOBON00191,,ERS20568936,,PRJEB51662,PRJEB51688,SAMEA115828419,EMOBON_ROSKOGO_Wa_38
EMOBON_ROSKOGO_Wa_211213_3um_1,EMOBON00188,,ERS20568933,,PRJEB51662,PRJEB51688,SAMEA115828416,EMOBON_ROSKOGO_Wa_33
EMOBON_ROSKOGO_Wa_211213_3um_2,EMOBON00189,,ERS20568934,,PRJEB51662,PRJEB51688,SAMEA115828417,EMOBON_ROSKOGO_Wa_34
EMOBON_VB_Wa_211018_0.2um_1,EMOBON00175,,ERS20569051,,PRJEB51664,PRJEB51688,SAMEA115828534,EMOBON_VB_Wa_96
EMOBON_VB_Wa_211018_0.2um_2,EMOBON00176,,ERS20569052,,PRJEB51664,PRJEB51688,SAMEA115828535,EMOBON_VB_Wa_97
EMOBON_VB_Wa_211018_3um_1,EMOBON00172,,ERS20569049,,PRJEB51664,PRJEB51688,SAMEA115828532,EMOBON_VB_Wa_93
EMOBON_VB_Wa_211018_3um_2,EMOBON00173,,ERS20569050,,PRJEB51664,PRJEB51688,SAMEA115828533,EMOBON_VB_Wa_94
EMOBON_VB_Wa_211217_0.2um_1,EMOBON00180,,ERS20569055,,PRJEB51664,PRJEB51688,SAMEA115828538,EMOBON_VB_Wa_140
EMOBON_VB_Wa_211217_0.2um_2,EMOBON00181,,ERS20569056,,PRJEB51664,PRJEB51688,SAMEA115828539,EMOBON_VB_Wa_141
EMOBON_VB_Wa_211217_3um_1,EMOBON00178,,ERS20569053,,PRJEB51664,PRJEB51688,SAMEA115828536,EMOBON_VB_Wa_137
EMOBON_VB_Wa_211217_3um_2,EMOBON00179,,ERS20569054,,PRJEB51664,PRJEB51688,SAMEA115828537,EMOBON_VB_Wa_138
