ref_code,source_material_id
EMOBON00001,EMOBON_OOB_So_210608_micro_1
EMOBON00003,EMOBON_ESC68N_Wa_210830_3um_1
EMOBON00004,EMOBON_ESC68N_Wa_210830_3um_2
EMOBON00005,EMOBON_ESC68N_Wa_210830_0.2um_1
EMOBON00006,EMOBON_ESC68N_Wa_210830_0.2um_2
EMOBON00007,EMOBON_BPNS_Wa_210701_3um_1
EMOBON00008,EMOBON_BPNS_Wa_210701_3um_2
EMOBON00009,EMOBON_BPNS_Wa_210701_0.2um_1
EMOBON00010,EMOBON_BPNS_Wa_210701_0.2um_2
EMOBON00011,EMOBON_BPNS_Wa_210825_3um_1
EMOBON00012,EMOBON_BPNS_Wa_210825_3um_2
EMOBON00013,EMOBON_BPNS_Wa_210825_0.2um_1
EMOBON00014,EMOBON_BPNS_Wa_210825_0.2um_2
EMOBON00015,EMOBON_ROSKOGO_Wa_210618_3um_1
EMOBON00016,EMOBON_ROSKOGO_Wa_210618_3um_2
EMOBON00017,EMOBON_ROSKOGO_Wa_210618_0.2um_1
EMOBON00018,EMOBON_ROSKOGO_Wa_210618_0.2um_2
EMOBON00019,EMOBON_ROSKOGO_Wa_210802_3um_1
EMOBON00020,EMOBON_ROSKOGO_Wa_210802_3um_2
EMOBON00021,EMOBON_ROSKOGO_Wa_210802_0.2um_1
EMOBON00022,EMOBON_ROSKOGO_Wa_210802_0.2um_2
EMOBON00023,EMOBON_VB_Wa_210621_3um_1
EMOBON00024,EMOBON_VB_Wa_210621_3um_2
EMOBON00025,EMOBON_VB_Wa_210621_0.2um_1
EMOBON00026,EMOBON_VB_Wa_210621_0.2um_2
EMOBON00027,EMOBON_VB_Wa_210823_3um_1
EMOBON00028,EMOBON_VB_Wa_210823_3um_2
EMOBON00029,EMOBON_VB_Wa_210823_0.2um_1
EMOBON00030,EMOBON_VB_Wa_210823_0.2um_2
EMOBON00031,EMOBON_EMT21_Wa_210825_3um_1
EMOBON00032,EMOBON_EMT21_Wa_210825_3um_2
EMOBON00033,EMOBON_EMT21_Wa_210825_0.2um_1
EMOBON00034,EMOBON_EMT21_Wa_210825_0.2um_2
EMOBON00035,EMOBON_PiEGetxo_Wa_210824_3um_1
EMOBON00036,EMOBON_PiEGetxo_Wa_210824_3um_2
EMOBON00037,EMOBON_PiEGetxo_Wa_210824_0.2um_1
EMOBON00038,EMOBON_PiEGetxo_Wa_210824_0.2um_2
EMOBON00039,EMOBON_PiEGetxo_Wa_210824_3um_blank
EMOBON00040,EMOBON_PiEGetxo_Wa_210824_0.2um_blank
EMOBON00041,EMOBON_RFormosa_Wa_210805_3um_1
EMOBON00042,EMOBON_RFormosa_Wa_210805_3um_2
EMOBON00043,EMOBON_RFormosa_Wa_210805_0.2um_1
EMOBON00044,EMOBON_RFormosa_Wa_210805_0.2um_2
EMOBON00045,EMOBON_OSD74_Wa_310821_3um_1
EMOBON00046,EMOBON_OSD74_Wa_310821_0.2um_1
EMOBON00047,EMOBON_OSD74_Wa_310821_0.2um_2
EMOBON00048,EMOBON_AAOT_Wa_210622_3um_1
EMOBON00049,EMOBON_AAOT_Wa_210622_3um_2
EMOBON00050,EMOBON_AAOT_Wa_210622_0.2um_1
EMOBON00051,EMOBON_AAOT_Wa_210622_0.2um_2
EMOBON00052,EMOBON_AAOT_Wa_210908_3um_1
EMOBON00053,EMOBON_AAOT_Wa_210908_3um_2
EMOBON00054,EMOBON_AAOT_Wa_210908_0.2um_1
EMOBON00055,EMOBON_AAOT_Wa_210908_0.2um_2
EMOBON00056,EMOBON_NRMCB_Wa_210621_3um_1
EMOBON00057,EMOBON_NRMCB_Wa_210621_3um_2
EMOBON00059,EMOBON_NRMCB_Wa_210621_0.2um_1
EMOBON00060,EMOBON_NRMCB_Wa_210621_0.2um_2
EMOBON00062,EMOBON_NRMCB_Wa_210831_3um_1
EMOBON00063,EMOBON_NRMCB_Wa_210831_3um_2
EMOBON00064,EMOBON_NRMCB_Wa_210831_3um_blank
EMOBON00065,EMOBON_NRMCB_Wa_210831_0.2um_1
EMOBON00066,EMOBON_NRMCB_Wa_210831_0.2um_2
EMOBON00067,EMOBON_NRMCB_Wa_210831_0.2um_blank
EMOBON00068,EMOBON_HCMR-1_Wa_210628_3um_1
EMOBON00069,EMOBON_HCMR-1_Wa_210628_3um_2
EMOBON00071,EMOBON_HCMR-1_Wa_210628_0.2um_1
EMOBON00072,EMOBON_HCMR-1_Wa_210628_0.2um_2
EMOBON00074,EMOBON_HCMR-1_Wa_210917_3um_1
EMOBON00075,EMOBON_HCMR-1_Wa_210917_3um_2
EMOBON00076,EMOBON_HCMR-1_Wa_210917_3um_blank
EMOBON00077,EMOBON_HCMR-1_Wa_210917_0.2um_1
EMOBON00078,EMOBON_HCMR-1_Wa_210917_0.2um_2
EMOBON00079,EMOBON_HCMR-1_Wa_210917_0.2um_blank
EMOBON00080,EMOBON_IUIEilat1_Wa_210829_0.2um_1
EMOBON00081,EMOBON_IUIEilat1_Wa_210829_0.2um_2
EMOBON00082,EMOBON_IUIEilat1_Wa_210829_3um_1
EMOBON00083,EMOBON_IUIEilat1_Wa_210829_3um_2
EMOBON00084,EMOBON_BPNS_So_210726_micro_1
EMOBON00085,EMOBON_BPNS_So_210726_micro_2
EMOBON00086,EMOBON_BPNS_So_210825_micro_2
EMOBON00087,EMOBON_BPNS_So_210825_micro_3
EMOBON00088,EMOBON_ROSKOGO_So_210826_micro_1
EMOBON00089,EMOBON_ROSKOGO_So_210826_micro_2
EMOBON00090,EMOBON_OOB_So_210818_micro_1
EMOBON00091,EMOBON_OOB_So_210818_micro_2
EMOBON00092,EMOBON_RFormosa_So_210805_micro_1
EMOBON00093,EMOBON_RFormosa_So_210805_micro_2
EMOBON00094,EMOBON_NRMCB_So_210621_1
EMOBON00095,EMOBON_NRMCB_So_210621_2
EMOBON00097,EMOBON_NRMCB_So_210831_1
EMOBON00098,EMOBON_NRMCB_So_210831_2
EMOBON00099,EMOBON_NRMCB_So_210831_blank
