EMOBON_material_sample_id,EMOBON_observatory_id,ENA_accesion_number_project,ENA_accesion_number_umbrella
EMO BON HCMR-1 Wa 210917 3um (blank),HCMR-1,PRJEB51655,PRJEB51688
EMO BON HCMR-1 Wa 210917 0.2um (1),HCMR-1,PRJEB51655,PRJEB51688
EMO BON HCMR-1 Wa 210917 0.2um (2),HCMR-1,PRJEB51655,PRJEB51688
EMO BON HCMR-1 Wa 210917 0.2um (blank),HCMR-1,PRJEB51655,PRJEB51688
EMO BON IUIEilat1 Wa 210829 0.2um (1),IUIEilat1,PRJEB51656,PRJEB51688
EMO BON IUIEilat1 Wa 210829 0.2um (2),IUIEilat1,PRJEB51656,PRJEB51688
EMO BON IUIEilat1 Wa 210829 3um (1),IUIEilat1,PRJEB51656,PRJEB51688
EMO BON IUIEilat1 Wa 210829 3um (2),IUIEilat1,PRJEB51656,PRJEB51688
EMOBON BPNS So 210726 micro (1),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS So 210726 micro (2),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS So 210825 micro (2),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS So 210825 micro (3),BPNS,PRJEB51652,PRJEB51688
EMOBON ROSKOGO So 210826 micro (1),ROSKOGO,PRJEB51662,PRJEB51688
EMOBON ROSKOGO So 210826 micro (2),ROSKOGO,PRJEB51662,PRJEB51688
EMOBON OOB So 210818 micro (1),OOB,PRJEB51665,PRJEB51688
EMOBON OOB So 210818 micro (2),OOB,PRJEB51665,PRJEB51688
EMO BON RFormosa So 210805 micro (1),Rformosa,PRJEB51661,PRJEB51688
EMO BON RFormosa So 210805 micro (2),Rformosa,PRJEB51661,PRJEB51688
EMO BON NRMCB So 210621  (1),NRMCB,PRJEB51658,PRJEB51688
EMO BON NRMCB So 210621  (2),NRMCB,PRJEB51658,PRJEB51688
EMO BON NRMCB So 210831  (1),NRMCB,PRJEB51658,PRJEB51688
EMO BON NRMCB So 210831  (2),NRMCB,PRJEB51658,PRJEB51688
EMO BON NRMCB So 210831  (blank),NRMCB,PRJEB51658,PRJEB51688
