ref_code,source_material_id,EMOBON_observatory_id,ENA_accesion_number_project,ENA_accesion_number_umbrella
EMOBON00062,EMOBON_NRMCB_Wa_210831_3um_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00063,EMOBON_NRMCB_Wa_210831_3um_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00064,EMOBON_NRMCB_Wa_210831_3um_blank,NRMCB,PRJEB51658,PRJEB51688
EMOBON00065,EMOBON_NRMCB_Wa_210831_0.2um_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00066,EMOBON_NRMCB_Wa_210831_0.2um_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00067,EMOBON_NRMCB_Wa_210831_0.2um_blank,NRMCB,PRJEB51658,PRJEB51688
EMOBON00068,EMOBON_HCMR-1_Wa_210628_3um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00069,EMOBON_HCMR-1_Wa_210628_3um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00071,EMOBON_HCMR-1_Wa_210628_0.2um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00072,EMOBON_HCMR-1_Wa_210628_0.2um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00074,EMOBON_HCMR-1_Wa_210917_3um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00075,EMOBON_HCMR-1_Wa_210917_3um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00076,EMOBON_HCMR-1_Wa_210917_3um_blank,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00077,EMOBON_HCMR-1_Wa_210917_0.2um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00078,EMOBON_HCMR-1_Wa_210917_0.2um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00079,EMOBON_HCMR-1_Wa_210917_0.2um_blank,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00080,EMOBON_IUIEilat1_Wa_210829_0.2um_1,IUIEilat1,PRJEB51656,PRJEB51688
EMOBON00081,EMOBON_IUIEilat1_Wa_210829_0.2um_2,IUIEilat1,PRJEB51656,PRJEB51688
EMOBON00082,EMOBON_IUIEilat1_Wa_210829_3um_1,IUIEilat1,PRJEB51656,PRJEB51688
EMOBON00083,EMOBON_IUIEilat1_Wa_210829_3um_2,IUIEilat1,PRJEB51656,PRJEB51688
EMOBON00084,EMOBON_BPNS_So_210726_micro_1,BPNS,PRJEB51652,PRJEB51688
EMOBON00085,EMOBON_BPNS_So_210726_micro_2,BPNS,PRJEB51652,PRJEB51688
EMOBON00086,EMOBON_BPNS_So_210825_micro_2,BPNS,PRJEB51652,PRJEB51688
EMOBON00087,EMOBON_BPNS_So_210825_micro_3,BPNS,PRJEB51652,PRJEB51688
EMOBON00088,EMOBON_ROSKOGO_So_210826_micro_1,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00089,EMOBON_ROSKOGO_So_210826_micro_2,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00090,EMOBON_OOB_So_210818_micro_1,OOB,PRJEB51665,PRJEB51688
EMOBON00091,EMOBON_OOB_So_210818_micro_2,OOB,PRJEB51665,PRJEB51688
EMOBON00092,EMOBON_RFormosa_So_210805_micro_1,Rformosa,PRJEB51661,PRJEB51688
EMOBON00093,EMOBON_RFormosa_So_210805_micro_2,Rformosa,PRJEB51661,PRJEB51688
EMOBON00094,EMOBON_NRMCB_So_210621_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00095,EMOBON_NRMCB_So_210621_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00097,EMOBON_NRMCB_So_210831_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00098,EMOBON_NRMCB_So_210831_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00099,EMOBON_NRMCB_So_210831_blank,NRMCB,PRJEB51658,PRJEB51688
