source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,event_id,old_source_mat_id
EMOBON_IUIEilat_Wa_22,EMOBON00125,,ERS20568982,ERX14293674,,ERR14888683,,PRJEB51656,PRJEB51688,SAMEA115828465,IUIEilat1_Wa_211219,EMOBON_IUIEilat1_Wa_211219_0.2um_2
EMOBON_IUIEilat_Wa_25,EMOBON00126,,ERS20568983,ERX14293675,,ERR14888684,,PRJEB51656,PRJEB51688,SAMEA115828466,IUIEilat1_Wa_211219,EMOBON_IUIEilat1_Wa_211219_3um_1
EMOBON_IUIEilat_Wa_26,EMOBON00127,,ERS20568984,ERX14293676,,ERR14888685,,PRJEB51656,PRJEB51688,SAMEA115828467,IUIEilat1_Wa_211219,EMOBON_IUIEilat1_Wa_211219_3um_2
EMOBON_MBAL4_Wa_1,EMOBON00154,,ERS20569063,ERX14293750,,ERR14888759,,PRJEB51657,PRJEB51688,SAMEA115828546,MBAL4_Wa_211103,EMOBON_MBAL4_Wa_211103_3um_1
EMOBON_MBAL4_Wa_11,EMOBON00158,,ERS20569067,ERX14293754,,ERR14888763,,PRJEB51657,PRJEB51688,SAMEA115828550,MBAL4_Wa_211216,EMOBON_MBAL4_Wa_211216_3um_1
EMOBON_MBAL4_Wa_12,EMOBON00159,,ERS20569068,ERX14293755,,ERR14888764,,PRJEB51657,PRJEB51688,SAMEA115828551,MBAL4_Wa_211216,EMOBON_MBAL4_Wa_211216_3um_2
EMOBON_MBAL4_Wa_13,EMOBON00160,,ERS20569069,ERX14293756,,ERR14888765,,PRJEB51657,PRJEB51688,SAMEA115828552,MBAL4_Wa_211216,EMOBON_MBAL4_Wa_211216_0.2um_1
EMOBON_MBAL4_Wa_14,EMOBON00161,,ERS20569070,ERX14293757,,ERR14888766,,PRJEB51657,PRJEB51688,SAMEA115828553,MBAL4_Wa_211216,EMOBON_MBAL4_Wa_211216_0.2um_2
EMOBON_MBAL4_Wa_2,EMOBON00155,,ERS20569064,ERX14293751,,ERR14888760,,PRJEB51657,PRJEB51688,SAMEA115828547,MBAL4_Wa_211103,EMOBON_MBAL4_Wa_211103_3um_2
EMOBON_MBAL4_Wa_3,EMOBON00156,,ERS20569065,ERX14293752,,ERR14888761,,PRJEB51657,PRJEB51688,SAMEA115828548,MBAL4_Wa_211103,EMOBON_MBAL4_Wa_211103_0.2um_1
EMOBON_MBAL4_Wa_4,EMOBON00157,,ERS20569066,ERX14293753,,ERR14888762,,PRJEB51657,PRJEB51688,SAMEA115828549,MBAL4_Wa_211103,EMOBON_MBAL4_Wa_211103_0.2um_2
EMOBON_NRMCB_So_11,EMOBON00236,,ERS20535391,ERX14293987,,ERR14888966,,PRJEB51658,PRJEB51688,SAMEA115809380,NRMCB_So_211026,EMOBON_NRMCB_So_211026_micro_1
EMOBON_NRMCB_So_12,EMOBON00237,,ERS20535392,ERX14293988,,ERR14888967,,PRJEB51658,PRJEB51688,SAMEA115809381,NRMCB_So_211026,EMOBON_NRMCB_So_211026_micro_2
EMOBON_NRMCB_So_16,EMOBON00238,,ERS20535393,ERX14293989,,ERR14888968,,PRJEB51658,PRJEB51688,SAMEA115809382,NRMCB_So_211221,EMOBON_NRMCB_So_211221_micro_1
EMOBON_NRMCB_So_17,EMOBON00239,,ERS20535394,ERX14293990,,ERR14888969,,PRJEB51658,PRJEB51688,SAMEA115809383,NRMCB_So_211221,EMOBON_NRMCB_So_211221_micro_2
EMOBON_NRMCB_Wa_43,EMOBON00228,,ERS20568965,ERX14293979,,ERR14888958,,PRJEB51658,PRJEB51688,SAMEA115828448,NRMCB_Wa_211026,EMOBON_NRMCB_Wa_211026_3um_1
EMOBON_NRMCB_Wa_44,EMOBON00229,,ERS20568966,ERX14293980,,ERR14888959,,PRJEB51658,PRJEB51688,SAMEA115828449,NRMCB_Wa_211026,EMOBON_NRMCB_Wa_211026_3um_2
EMOBON_NRMCB_Wa_48,EMOBON00230,,ERS20568967,ERX14293981,,ERR14888960,,PRJEB51658,PRJEB51688,SAMEA115828450,NRMCB_Wa_211026,EMOBON_NRMCB_Wa_211026_0.2um_1
EMOBON_NRMCB_Wa_49,EMOBON00231,,ERS20568968,ERX14293982,,ERR14888961,,PRJEB51658,PRJEB51688,SAMEA115828451,NRMCB_Wa_211026,EMOBON_NRMCB_Wa_211026_0.2um_2
EMOBON_NRMCB_Wa_63,EMOBON00232,,ERS20568969,ERX14293983,,ERR14888962,,PRJEB51658,PRJEB51688,SAMEA115828452,NRMCB_Wa_211221,EMOBON_NRMCB_Wa_211221_3um_1
EMOBON_NRMCB_Wa_64,EMOBON00233,,ERS20568970,ERX14293984,,ERR14888963,,PRJEB51658,PRJEB51688,SAMEA115828453,NRMCB_Wa_211221,EMOBON_NRMCB_Wa_211221_3um_2
EMOBON_NRMCB_Wa_68,EMOBON00234,,ERS20568971,ERX14293985,,ERR14888964,,PRJEB51658,PRJEB51688,SAMEA115828454,NRMCB_Wa_211221,EMOBON_NRMCB_Wa_211221_0.2um_1
EMOBON_NRMCB_Wa_69,EMOBON00235,,ERS20568972,ERX14293986,,ERR14888965,,PRJEB51658,PRJEB51688,SAMEA115828455,NRMCB_Wa_211221,EMOBON_NRMCB_Wa_211221_0.2um_2
EMOBON_OOB_So_25,EMOBON00242,,ERS20535384,ERX14293705,,ERR14888714,,PRJEB51665,PRJEB51688,SAMEA115809373,OOB_So_211209,EMOBON_OOB_So_211209_micro_1
EMOBON_OOB_So_26,EMOBON00243,,ERS20535385,ERX14293706,,ERR14888715,,PRJEB51665,PRJEB51688,SAMEA115809374,OOB_So_211209,EMOBON_OOB_So_211209_micro_2
EMOBON_OSD74_Wa_11,EMOBON00244,,ERS20569008,ERX14293840,,ERR14888849,,PRJEB51659,PRJEB51688,SAMEA115828491,OSD74_Wa_211028,EMOBON_OSD74_Wa_211028_3um_1
EMOBON_OSD74_Wa_12,EMOBON00245,,ERS20569009,ERX14293841,,ERR14888850,,PRJEB51659,PRJEB51688,SAMEA115828492,OSD74_Wa_211028,EMOBON_OSD74_Wa_211028_0.2um_1
EMOBON_OSD74_Wa_13,EMOBON00246,,ERS20569010,ERX14293842,,ERR14888851,,PRJEB51659,PRJEB51688,SAMEA115828493,OSD74_Wa_211028,EMOBON_OSD74_Wa_211028_3um_2
EMOBON_OSD74_Wa_14,EMOBON00247,,ERS20569011,ERX14293843,,ERR14888852,,PRJEB51659,PRJEB51688,SAMEA115828494,OSD74_Wa_211028,EMOBON_OSD74_Wa_211028_0.2um_2
EMOBON_OSD74_Wa_21,EMOBON00248,,ERS20569012,ERX14293844,,ERR14888853,,PRJEB51659,PRJEB51688,SAMEA115828495,OSD74_Wa_211218,EMOBON_OSD74_Wa_211218_3um_1
EMOBON_OSD74_Wa_22,EMOBON00249,,ERS20569013,ERX14293845,,ERR14888854,,PRJEB51659,PRJEB51688,SAMEA115828496,OSD74_Wa_211218,EMOBON_OSD74_Wa_211218_0.2um_1
EMOBON_OSD74_Wa_23,EMOBON00250,,ERS20569014,ERX14293846,,ERR14888855,,PRJEB51659,PRJEB51688,SAMEA115828497,OSD74_Wa_211218,EMOBON_OSD74_Wa_211218_3um_2
EMOBON_OSD74_Wa_24,EMOBON00251,,ERS20569015,ERX14293847,,ERR14888856,,PRJEB51659,PRJEB51688,SAMEA115828498,OSD74_Wa_211218,EMOBON_OSD74_Wa_211218_0.2um_2
EMOBON_PiEGetxo_Wa_12,EMOBON00206,,ERS20569022,ERX14293770,,ERR14888779,,PRJEB51660,PRJEB51688,SAMEA115828505,PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_211027_3um_1
EMOBON_PiEGetxo_Wa_13,EMOBON00207,,ERS20569023,ERX14293771,,ERR14888780,,PRJEB51660,PRJEB51688,SAMEA115828506,PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_211027_3um_2
EMOBON_PiEGetxo_Wa_14,EMOBON00208,,ERS20569024,ERX14293772,,ERR14888781,,PRJEB51660,PRJEB51688,SAMEA115828507,PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_211027_0.2um_1
EMOBON_PiEGetxo_Wa_15,EMOBON00209,,ERS20569025,ERX14293773,,ERR14888782,,PRJEB51660,PRJEB51688,SAMEA115828508,PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_211027_0.2um_2
EMOBON_PiEGetxo_Wa_48,EMOBON00210,,ERS20569026,ERX14293774,,ERR14888783,,PRJEB51660,PRJEB51688,SAMEA115828509,PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_211222_3um_1
EMOBON_PiEGetxo_Wa_49,EMOBON00211,,ERS20569027,ERX14293775,,ERR14888784,,PRJEB51660,PRJEB51688,SAMEA115828510,PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_211222_3um_2
EMOBON_PiEGetxo_Wa_50,EMOBON00212,,ERS20569028,ERX14293776,,ERR14888785,,PRJEB51660,PRJEB51688,SAMEA115828511,PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_211222_0.2um_1
EMOBON_PiEGetxo_Wa_51,EMOBON00213,,ERS20569029,ERX14293777,,ERR14888786,,PRJEB51660,PRJEB51688,SAMEA115828512,PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_211222_0.2um_2
EMOBON_RFormosa_So_11,EMOBON00226,,ERS20535381,ERX14294001,,ERR14888981,,PRJEB51661,PRJEB51688,SAMEA115809370,RFormosa_So_211220,EMOBON_RFormosa_So_211220_micro_1
EMOBON_RFormosa_So_12,EMOBON00227,,ERS20535382,ERX14294002,,ERR14888982,,PRJEB51661,PRJEB51688,SAMEA115809371,RFormosa_So_211220,EMOBON_RFormosa_So_211220_micro_2
EMOBON_RFormosa_So_6,EMOBON00224,,ERS20535379,ERX14293999,,ERR14888979,,PRJEB51661,PRJEB51688,SAMEA115809368,RFormosa_So_211022,EMOBON_RFormosa_So_211022_micro_1
EMOBON_RFormosa_So_7,EMOBON00225,,ERS20535380,ERX14294000,,ERR14888980,,PRJEB51661,PRJEB51688,SAMEA115809369,RFormosa_So_211022,EMOBON_RFormosa_So_211022_micro_2
EMOBON_RFormosa_Wa_11,EMOBON00214,,ERS20568949,ERX14293991,,ERR14888970,,PRJEB51661,PRJEB51688,SAMEA115828432,RFormosa_Wa_211022,EMOBON_RFormosa_Wa_211022_3um_1
EMOBON_RFormosa_Wa_12,EMOBON00215,,ERS20568950,ERX14293992,,ERR14888972,,PRJEB51661,PRJEB51688,SAMEA115828433,RFormosa_Wa_211022,EMOBON_RFormosa_Wa_211022_3um_2
EMOBON_RFormosa_Wa_15,EMOBON00216,,ERS20568951,ERX14293993,,ERR14888973,,PRJEB51661,PRJEB51688,SAMEA115828434,RFormosa_Wa_211022,EMOBON_RFormosa_Wa_211022_0.2um_1
EMOBON_RFormosa_Wa_16,EMOBON00217,,ERS20568952,ERX14293994,,ERR14888974,,PRJEB51661,PRJEB51688,SAMEA115828435,RFormosa_Wa_211022,EMOBON_RFormosa_Wa_211022_0.2um_2
EMOBON_RFormosa_Wa_21,EMOBON00218,,ERS20568953,ERX14293995,,ERR14888975,,PRJEB51661,PRJEB51688,SAMEA115828436,RFormosa_Wa_211220,EMOBON_RFormosa_Wa_211220_3um_1
EMOBON_RFormosa_Wa_22,EMOBON00219,,ERS20568954,ERX14293996,,ERR14888976,,PRJEB51661,PRJEB51688,SAMEA115828437,RFormosa_Wa_211220,EMOBON_RFormosa_Wa_211220_3um_2
EMOBON_RFormosa_Wa_25,EMOBON00220,,ERS20568955,ERX14293997,,ERR14888977,,PRJEB51661,PRJEB51688,SAMEA115828438,RFormosa_Wa_211220,EMOBON_RFormosa_Wa_211220_0.2um_1
EMOBON_RFormosa_Wa_26,EMOBON00221,,ERS20568956,ERX14293998,,ERR14888978,,PRJEB51661,PRJEB51688,SAMEA115828439,RFormosa_Wa_211220,EMOBON_RFormosa_Wa_211220_0.2um_2
EMOBON_ROSKOGO_So_16,EMOBON00192,,ERS20535369,ERX14293896,,ERR14888905,,PRJEB51662,PRJEB51688,SAMEA115809358,ROSKOGO_So_211119,EMOBON_ROSKOGO_So_211119_micro_1
EMOBON_ROSKOGO_So_17,EMOBON00193,,ERS20535370,ERX14293897,,ERR14888906,,PRJEB51662,PRJEB51688,SAMEA115809359,ROSKOGO_So_211119,EMOBON_ROSKOGO_So_211119_micro_2
EMOBON_ROSKOGO_So_61,EMOBON00194,,ERS20535371,ERX14293898,,ERR14888907,,PRJEB51662,PRJEB51688,SAMEA115809360,ROSKOGO_So_211222,EMOBON_ROSKOGO_So_211222_micro_1
EMOBON_ROSKOGO_So_62,EMOBON00195,,ERS20535372,ERX14293899,,ERR14888908,,PRJEB51662,PRJEB51688,SAMEA115809361,ROSKOGO_So_211222,EMOBON_ROSKOGO_So_211222_micro_2
EMOBON_ROSKOGO_Wa_23,EMOBON00182,,ERS20568929,ERX14293888,,ERR14888897,,PRJEB51662,PRJEB51688,SAMEA115828412,ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_211014_3um_1
EMOBON_ROSKOGO_Wa_24,EMOBON00183,,ERS20568930,ERX14293889,,ERR14888898,,PRJEB51662,PRJEB51688,SAMEA115828413,ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_211014_3um_2
EMOBON_ROSKOGO_Wa_27,EMOBON00184,,ERS20568931,ERX14293890,,ERR14888899,,PRJEB51662,PRJEB51688,SAMEA115828414,ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_211014_0.2um_1
EMOBON_ROSKOGO_Wa_28,EMOBON00185,,ERS20568932,ERX14293891,,ERR14888900,,PRJEB51662,PRJEB51688,SAMEA115828415,ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_211014_0.2um_2
EMOBON_ROSKOGO_Wa_33,EMOBON00188,,ERS20568933,ERX14293892,,ERR14888901,,PRJEB51662,PRJEB51688,SAMEA115828416,ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_211213_3um_1
EMOBON_ROSKOGO_Wa_34,EMOBON00189,,ERS20568934,ERX14293893,,ERR14888902,,PRJEB51662,PRJEB51688,SAMEA115828417,ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_211213_3um_2
EMOBON_ROSKOGO_Wa_37,EMOBON00190,,ERS20568935,ERX14293894,,ERR14888903,,PRJEB51662,PRJEB51688,SAMEA115828418,ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_211213_0.2um_1
EMOBON_ROSKOGO_Wa_38,EMOBON00191,,ERS20568936,ERX14293895,,ERR14888904,,PRJEB51662,PRJEB51688,SAMEA115828419,ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_211213_0.2um_2
EMOBON_VB_Wa_137,EMOBON00178,,ERS20569053,ERX14293799,,ERR14888808,,PRJEB51664,PRJEB51688,SAMEA115828536,VB_Wa_211217,EMOBON_VB_Wa_211217_3um_1
EMOBON_VB_Wa_138,EMOBON00179,,ERS20569054,ERX14293800,,ERR14888809,,PRJEB51664,PRJEB51688,SAMEA115828537,VB_Wa_211217,EMOBON_VB_Wa_211217_3um_2
EMOBON_VB_Wa_140,EMOBON00180,,ERS20569055,ERX14293801,,ERR14888810,,PRJEB51664,PRJEB51688,SAMEA115828538,VB_Wa_211217,EMOBON_VB_Wa_211217_0.2um_1
EMOBON_VB_Wa_141,EMOBON00181,,ERS20569056,ERX14293802,,ERR14888811,,PRJEB51664,PRJEB51688,SAMEA115828539,VB_Wa_211217,EMOBON_VB_Wa_211217_0.2um_2
EMOBON_VB_Wa_93,EMOBON00172,,ERS20569049,ERX14293795,,ERR14888804,,PRJEB51664,PRJEB51688,SAMEA115828532,VB_Wa_211018,EMOBON_VB_Wa_211018_3um_1
EMOBON_VB_Wa_94,EMOBON00173,,ERS20569050,ERX14293796,,ERR14888805,,PRJEB51664,PRJEB51688,SAMEA115828533,VB_Wa_211018,EMOBON_VB_Wa_211018_3um_2
EMOBON_VB_Wa_96,EMOBON00175,,ERS20569051,ERX14293797,,ERR14888806,,PRJEB51664,PRJEB51688,SAMEA115828534,VB_Wa_211018,EMOBON_VB_Wa_211018_0.2um_1
EMOBON_VB_Wa_97,EMOBON00176,,ERS20569052,ERX14293798,,ERR14888807,,PRJEB51664,PRJEB51688,SAMEA115828535,VB_Wa_211018,EMOBON_VB_Wa_211018_0.2um_2
