source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,event_id,old_source_mat_id
EMOBON_RFormosa_So_2,EMOBON00093,,ERS20535378,ERX13355738,,ERR13954643,,PRJEB51661,PRJEB51688,SAMEA115809367,RFormosa_So_210805,EMOBON_RFormosa_So_210805_micro_2
EMOBON_ROSKOGO_So_1,EMOBON00088,,ERS20535367,ERX13355914,,ERR13954819,,PRJEB51662,PRJEB51688,SAMEA115809356,ROSKOGO_So_210826,EMOBON_ROSKOGO_So_210826_micro_1
EMOBON_ROSKOGO_So_2,EMOBON00089,,ERS20535368,ERX13355915,,ERR13954820,,PRJEB51662,PRJEB51688,SAMEA115809357,ROSKOGO_So_210826,EMOBON_ROSKOGO_So_210826_micro_2
EMOBON_AAOT_Wa_6,EMOBON00050,,ERS20568992,ERX13355362,,ERR13954267,,PRJEB50566,PRJEB51688,SAMEA115828475,AAOT_Wa_210622,EMOBON_AAOT_Wa_210622_0.2um_1
EMOBON_AAOT_Wa_7,EMOBON00051,,ERS20568993,ERX13355363,,ERR13954268,,PRJEB50566,PRJEB51688,SAMEA115828476,AAOT_Wa_210622,EMOBON_AAOT_Wa_210622_0.2um_2
EMOBON_AAOT_Wa_1,EMOBON00048,,ERS20568990,ERX13355360,,ERR13954265,,PRJEB50566,PRJEB51688,SAMEA115828473,AAOT_Wa_210622,EMOBON_AAOT_Wa_210622_3um_1
EMOBON_AAOT_Wa_2,EMOBON00049,,ERS20568991,ERX13355361,,ERR13954266,,PRJEB50566,PRJEB51688,SAMEA115828474,AAOT_Wa_210622,EMOBON_AAOT_Wa_210622_3um_2
EMOBON_AAOT_Wa_26,EMOBON00054,,ERS20568995,ERX13355365,,ERR13954270,,PRJEB50566,PRJEB51688,SAMEA115828478,AAOT_Wa_210809,EMOBON_AAOT_Wa_210809_0.2um_1
EMOBON_AAOT_Wa_27,EMOBON00055,,ERS20568996,ERX13355366,,ERR13954271,,PRJEB50566,PRJEB51688,SAMEA115828479,AAOT_Wa_210809,EMOBON_AAOT_Wa_210809_0.2um_2
EMOBON_AAOT_Wa_22,EMOBON00053,,ERS20568994,ERX13355364,,ERR13954269,,PRJEB50566,PRJEB51688,SAMEA115828477,AAOT_Wa_210809,EMOBON_AAOT_Wa_210809_3um_2
EMOBON_BPNS_Wa_7,EMOBON00009,DBB_AACU,ERS16590013,ERX13356184,,ERR13955089,,PRJEB51652,PRJEB51688,SAMEA114561120,BPNS_Wa_210701,EMOBON_BPNS_Wa_210701_0.2um_1
EMOBON_BPNS_Wa_6,EMOBON00010,DBB_AACV,ERS16590014,ERX13356185,,ERR13955090,,PRJEB51652,PRJEB51688,SAMEA114561121,BPNS_Wa_210701,EMOBON_BPNS_Wa_210701_0.2um_2
EMOBON_BPNS_Wa_1,EMOBON00007,DBB_AACS,ERS16590011,ERX13356182,,ERR13955087,,PRJEB51652,PRJEB51688,SAMEA114561118,BPNS_Wa_210701,EMOBON_BPNS_Wa_210701_3um_1
EMOBON_BPNS_Wa_2,EMOBON00008,DBB_AACT,ERS16590012,ERX13356183,,ERR13955088,,PRJEB51652,PRJEB51688,SAMEA114561119,BPNS_Wa_210701,EMOBON_BPNS_Wa_210701_3um_2
EMOBON_BPNS_Wa_26,EMOBON00013,DBB_AACY,ERS16590017,ERX13356188,,ERR13955093,,PRJEB51652,PRJEB51688,SAMEA114561124,BPNS_Wa_210825,EMOBON_BPNS_Wa_210825_0.2um_1
EMOBON_BPNS_Wa_27,EMOBON00014,DBB_AACE,ERS16590018,ERX13356189,,ERR13955094,,PRJEB51652,PRJEB51688,SAMEA114561125,BPNS_Wa_210825,EMOBON_BPNS_Wa_210825_0.2um_2
EMOBON_BPNS_Wa_21,EMOBON00011,DBB_AACW,ERS16590015,ERX13356186,,ERR13955091,,PRJEB51652,PRJEB51688,SAMEA114561122,BPNS_Wa_210825,EMOBON_BPNS_Wa_210825_3um_1
EMOBON_BPNS_Wa_22,EMOBON00012,DBB_AACX,ERS16590016,ERX13356187,,ERR13955092,,PRJEB51652,PRJEB51688,SAMEA114561123,BPNS_Wa_210825,EMOBON_BPNS_Wa_210825_3um_2
EMOBON_EMT21_Wa_6,EMOBON00033,,ERS20569032,ERX13355354,,ERR13954259,,PRJEB51653,PRJEB51688,SAMEA115828515,EMT21_Wa_210825,EMOBON_EMT21_Wa_210825_0.2um_1
EMOBON_EMT21_Wa_7,EMOBON00034,,ERS20569033,ERX13355355,,ERR13954260,,PRJEB51653,PRJEB51688,SAMEA115828516,EMT21_Wa_210825,EMOBON_EMT21_Wa_210825_0.2um_2
EMOBON_EMT21_Wa_1,EMOBON00031,,ERS20569030,ERX13355352,,ERR13954257,,PRJEB51653,PRJEB51688,SAMEA115828513,EMT21_Wa_210825,EMOBON_EMT21_Wa_210825_3um_1
