ref_code,source_material_id_orig,source_material_id
EMOBON00406,EMOBON_PiEGetxo_Wa_220823_3um_2,EMOBON_PiEGetxo_Wa_97
EMOBON00407,EMOBON_PiEGetxo_Wa_220823_0.2um_1,EMOBON_PiEGetxo_Wa_98
EMOBON00408,EMOBON_PiEGetxo_Wa_220823_0.2um_2,EMOBON_PiEGetxo_Wa_99
EMOBON00409,EMOBON_RFormosa_Wa_220224_3um_1,EMOBON_RFormosa_Wa_31
EMOBON00410,EMOBON_RFormosa_Wa_220224_3um_2,EMOBON_RFormosa_Wa_32
EMOBON00411,EMOBON_RFormosa_Wa_220224_0.2um_1,EMOBON_RFormosa_Wa_35
EMOBON00412,EMOBON_RFormosa_Wa_220224_0.2um_2,EMOBON_RFormosa_Wa_36
EMOBON00413,EMOBON_RFormosa_Wa_220428_3um_1,EMOBON_RFormosa_Wa_41
EMOBON00414,EMOBON_RFormosa_Wa_2200428_3um_2,EMOBON_RFormosa_Wa_42
EMOBON00415,EMOBON_RFormosa_Wa_2200428_0.2um_1,EMOBON_RFormosa_Wa_45
EMOBON00416,EMOBON_RFormosa_Wa_220428_0.2um_2,EMOBON_RFormosa_Wa_46
EMOBON00417,EMOBON_RFormosa_Wa_220629_3um_1,EMOBON_RFormosa_Wa_51
EMOBON00418,EMOBON_RFormosa_Wa_220629_3um_2,EMOBON_RFormosa_Wa_52
EMOBON00419,EMOBON_RFormosa_Wa_220629_0.2um_1,EMOBON_RFormosa_Wa_55
EMOBON00420,EMOBON_RFormosa_Wa_220629_0.2um_2,EMOBON_RFormosa_Wa_56
EMOBON00421,EMOBON_RFormosa_Wa_2200909_3um_1,EMOBON_RFormosa_Wa_61
EMOBON00422,EMOBON_RFormosa_Wa_2200909_3um_2,EMOBON_RFormosa_Wa_62
EMOBON00423,EMOBON_RFormosa_Wa_220909_0.2um_1,EMOBON_RFormosa_Wa_65
EMOBON00424,EMOBON_RFormosa_Wa_220909_0.2um_2,EMOBON_RFormosa_Wa_66
EMOBON00425,EMOBON_RFormosa_So_220224_micro_1,EMOBON_RFormosa_So_16
EMOBON00426,EMOBON_RFormosa_So_220224_micro_2,EMOBON_RFormosa_So_17
EMOBON00427,EMOBON_RFormosa_So_220428_micro_1,EMOBON_RFormosa_So_21
EMOBON00428,EMOBON_RFormosa_So_220428_micro_2,EMOBON_RFormosa_So_22
EMOBON00429,EMOBON_RFormosa_So_220629_micro_1,EMOBON_RFormosa_So_26
EMOBON00430,EMOBON_RFormosa_So_220629_micro_2,EMOBON_RFormosa_So_27
EMOBON00431,EMOBON_RFormosa_So_220909_micro_1,EMOBON_RFormosa_So_31
EMOBON00432,EMOBON_RFormosa_So_220909_micro_2,EMOBON_RFormosa_So_32
EMOBON00433,EMOBON_NRMCB_Wa_220302_3um_1,EMOBON_NRMCB_Wa_83
EMOBON00434,EMOBON_NRMCB_Wa_220302_3um_2,EMOBON_NRMCB_Wa_84
EMOBON00435,EMOBON_NRMCB_Wa_220302_0.2um_1,EMOBON_NRMCB_Wa_88
EMOBON00436,EMOBON_NRMCB_Wa_220302_0.2um_2,EMOBON_NRMCB_Wa_89
EMOBON00437,EMOBON_NRMCB_Wa_220427_3um_1,EMOBON_NRMCB_Wa_103
EMOBON00438,EMOBON_NRMCB_Wa_220427_3um_2,EMOBON_NRMCB_Wa_104
EMOBON00439,EMOBON_NRMCB_Wa_220427_0.2um_1,EMOBON_NRMCB_Wa_108
EMOBON00440,EMOBON_NRMCB_Wa_220427_0.2um_2,EMOBON_NRMCB_Wa_109
EMOBON00441,EMOBON_NRMCB_Wa_220623_3um_1,EMOBON_NRMCB_Wa_123
EMOBON00442,EMOBON_NRMCB_Wa_220623_3um_2,EMOBON_NRMCB_Wa_124
EMOBON00443,EMOBON_NRMCB_Wa_220623_0.2um_1,EMOBON_NRMCB_Wa_127
EMOBON00444,EMOBON_NRMCB_Wa_220623_0.2um_2,EMOBON_NRMCB_Wa_128
EMOBON00445,EMOBON_NRMCB_Wa_220623_3um_blank,EMOBON_NRMCB_Wa_129
EMOBON00446,EMOBON_NRMCB_Wa_220623_0.2um_blank,EMOBON_NRMCB_Wa_132
EMOBON00447,EMOBON_NRMCB_Wa_220803_3um_1,EMOBON_NRMCB_Wa_143
EMOBON00448,EMOBON_NRMCB_Wa_220803_3um_2,EMOBON_NRMCB_Wa_144
EMOBON00449,EMOBON_NRMCB_Wa_220803_0.2um_1,EMOBON_NRMCB_Wa_148
EMOBON00450,EMOBON_NRMCB_Wa_220803_0.2um_2,EMOBON_NRMCB_Wa_149
