ref_code,source_material_id
EMOBON00269,EMOBON_BPNS_Wa_220322_3um_1
EMOBON00270,EMOBON_BPNS_Wa_220322_3um_2
EMOBON00271,EMOBON_BPNS_Wa_220322_0.2um_1
EMOBON00272,EMOBON_BPNS_Wa_220322_0.2um_2
EMOBON00273,EMOBON_BPNS_Wa_220420_3um_1
EMOBON00274,EMOBON_BPNS_Wa_220420_3um_2
EMOBON00275,EMOBON_BPNS_Wa_220420_0.2um_1
EMOBON00276,EMOBON_BPNS_Wa_220420_0.2um_2
EMOBON00277,EMOBON_BPNS_Wa_220601_3um_1
EMOBON00278,EMOBON_BPNS_Wa_220601_3um_2
EMOBON00279,EMOBON_BPNS_Wa_220601_0.2um_1
EMOBON00280,EMOBON_BPNS_Wa_220601_0.2um_2
EMOBON00281,EMOBON_BPNS_Wa_220819_3um_1
EMOBON00282,EMOBON_BPNS_Wa_220819_3um_2
EMOBON00283,EMOBON_BPNS_Wa_220819_0.2um_1
EMOBON00284,EMOBON_BPNS_Wa_220819_0.2um_2
EMOBON00285,EMOBON_BPNS_So_220322_micro_1
EMOBON00286,EMOBON_BPNS_So_220322_micro_2
EMOBON00287,EMOBON_BPNS_So_220420_micro_1
EMOBON00288,EMOBON_BPNS_So_220420_micro_2
EMOBON00289,EMOBON_BPNS_So_220601_micro_1
EMOBON00290,EMOBON_BPNS_So_220601_micro_2
EMOBON00291,EMOBON_EMT21_Wa_220225_3um_1
EMOBON00292,EMOBON_EMT21_Wa_220225_3um_2
EMOBON00293,EMOBON_EMT21_Wa_220225_0.2um_1
EMOBON00294,EMOBON_EMT21_Wa_220225_0.2um_2
EMOBON00295,EMOBON_EMT21_Wa_220420_3um_1
EMOBON00296,EMOBON_EMT21_Wa_220420_3um_2
EMOBON00297,EMOBON_EMT21_Wa_220420_0.2um_1
EMOBON00298,EMOBON_EMT21_Wa_220420_0.2um_2
EMOBON00299,EMOBON_EMT21_Wa_220824_3um_1
EMOBON00300,EMOBON_EMT21_Wa_220824_3um_2
EMOBON00301,EMOBON_EMT21_Wa_220824_0.2um_1
EMOBON00302,EMOBON_EMT21_Wa_220824_0.2um_2
EMOBON00303,EMOBON_MBAL4_Wa_220301_3um_1
EMOBON00304,EMOBON_MBAL4_Wa_220301_3um_2
EMOBON00305,EMOBON_MBAL4_Wa_220301_0.2um_1
EMOBON00306,EMOBON_MBAL4_Wa_220301_0.2um_2
EMOBON00307,EMOBON_MBAL4_Wa_220427_3um_1
EMOBON00308,EMOBON_MBAL4_Wa_220427_3um_2
EMOBON00309,EMOBON_MBAL4_Wa_220427_0.2um_1
EMOBON00310,EMOBON_MBAL4_Wa_220427_0.2um_2
EMOBON00311,EMOBON_MBAL4_Wa_220427_3um_blank
